name,slug,brand,category,short_description,long_description,statusName,image_url,product_url,sku,price_sale,price_original,color,size,stock_quantity
Áo Thun Tay Ngắn Waffle Thoáng Khí Seventy Seven 010 Xám,ao-thun-tay-ngan-waffle-thoang-khi-seventy-seven-010-xam,Seventy Seven,Áo thun,Áo Thun Tay Ngắn Waffle Thoáng Khí Seventy Seven 010 Xám,,New,https://yame.vn/cdn/shop/files/ao-thun-seventy-seven-10-xam-1174883575.jpg?v=1760777333&width=533,https://yame.vn/products/ao-thun-tay-ngan-waffle-thoang-khi-seventy-seven-10-xam-0023214,ao-thun-tay-ngan-waffle-thoang-khi-seventy-seven-10-xam-0023214,149150.0,157000.0,Xám,,0
Áo Thun 3 Lỗ Cotton Thoáng Khí Seventy Seven 014 Đen,ao-thun-3-lo-cotton-thoang-khi-seventy-seven-014-en,Seventy Seven,Áo thun 3 lỗ,Áo Thun 3 Lỗ Cotton Thoáng Khí Seventy Seven 014 Đen,,New,https://yame.vn/cdn/shop/files/23222_thumb_1.jpg?v=1760776183&width=533,https://yame.vn/products/ao-thun-3-lo-cotton-thoang-khi-seventy-seven-14-den-0023222,ao-thun-3-lo-cotton-thoang-khi-seventy-seven-14-den-0023222,149150.0,157000.0,Đen,,0
Áo Khoác Cardigan Vải Waffle Thoáng Khí Seventy Seven 038 Be,ao-khoac-cardigan-vai-waffle-thoang-khi-seventy-seven-038-be,Seventy Seven,Áo khoác,Áo Khoác Cardigan Vải Waffle Thoáng Khí Seventy Seven 038 Be,,New,https://yame.vn/cdn/shop/files/0023187_thumb_1.jpg?v=1760798650&width=533,https://yame.vn/products/ao-khoac-cardigan-vai-waffle-thoang-khi-seventy-seven-38-be-0023187,ao-khoac-cardigan-vai-waffle-thoang-khi-seventy-seven-38-be-0023187,243950.0,287000.0,Be,,0
Áo Thun Bird’s Eye Pique Ít Nhăn Non Branded 008 Nâu Nhạt,ao-thun-bird-s-eye-pique-it-nhan-non-branded-008-nau-nhat,Non Branded,Áo thun,Áo Thun Bird’s Eye Pique Ít Nhăn Non Branded 008 Nâu Nhạt,,New,https://yame.vn/cdn/shop/files/ao-thun-no-style-02-be-1174883351.jpg?v=1760777880&width=533,https://yame.vn/products/ao-thun-bird-s-eye-pique-it-nhan-dang-vua-no-style-02-be-0022933,ao-thun-bird-s-eye-pique-it-nhan-dang-vua-no-style-02-be-0022933,82650.0,87000.0,Nâu Nhạt,,0
Áo Thun 3 Lỗ Waffle Non Branded 002 Nâu,ao-thun-3-lo-waffle-non-branded-002-nau,Non Branded,Áo thun 3 lỗ,Áo Thun 3 Lỗ Waffle Non Branded 002 Nâu,,New,https://yame.vn/cdn/shop/files/23717_thumb_1.jpg?v=1760775957&width=533,https://yame.vn/products/ao-thun-3-lo-waffle-non-branded-02-nau-0023717,ao-thun-3-lo-waffle-non-branded-02-nau-0023717,111150.0,117000.0,Nâu,,0
Áo Sơ Mi Modal Mềm Mịn Ít Nhăn Non Branded 033 Nâu Nhạt,ao-so-mi-modal-mem-min-it-nhan-non-branded-033-nau-nhat,Non Branded,Áo sơ mi,Áo Sơ Mi Modal Mềm Mịn Ít Nhăn Non Branded 033 Nâu Nhạt,,New,https://yame.vn/cdn/shop/files/ao-s-mi-non-branded-33-nau-1174884161.jpg?v=1760775447&width=533,https://yame.vn/products/ao-so-mi-modal-mem-min-it-nhan-non-branded-33-nau-0024148,ao-so-mi-modal-mem-min-it-nhan-non-branded-33-nau-0024148,187150.0,197000.0,Nâu Nhạt,,0
Áo Sơ Mi Cổ Trụ Linen Thoáng mát Seventy Seven 024 Nâu Nhạt,ao-so-mi-co-tru-linen-thoang-mat-seventy-seven-024-nau-nhat,Seventy Seven,Áo sơ mi,Áo Sơ Mi Cổ Trụ Linen Thoáng mát Seventy Seven 024 Nâu Nhạt,,New,https://yame.vn/cdn/shop/files/ao-s-mi-seventy-seven-24-be-1174883242.jpg?v=1760786684&width=533,https://yame.vn/products/ao-so-mi-co-tru-linen-thoang-mat-seventy-seven-24-be-0023267,ao-so-mi-co-tru-linen-thoang-mat-seventy-seven-24-be-0023267,231300.0,257000.0,Nâu Nhạt,,0
Ví Ngang Da Bò #Y2010 136 Xanh Dương Đậm,vi-ngang-da-bo-y2010-136-xanh-duong-am,YaMe,Khác,Ví Ngang Da Bò #Y2010 136 Xanh Dương Đậm,,New,https://yame.vn/cdn/shop/files/vi-y2010-db001-xanh-den-1180968980.jpg?v=1760792011&width=533,https://yame.vn/products/vi-ngang-da-bo-y2010-db001-xanh-den-0024545,vi-ngang-da-bo-y2010-db001-xanh-den-0024545,177300.0,197000.0,Xanh Dương Đậm,,0
Ví Ngang Da Bò #Y2010 136 Xám Đậm,vi-ngang-da-bo-y2010-136-xam-am,YaMe,Khác,Ví Ngang Da Bò #Y2010 136 Xám Đậm,,New,https://yame.vn/cdn/shop/files/vi-y2010-db001-xam-1180968983.jpg?v=1760792024&width=533,https://yame.vn/products/vi-ngang-da-bo-y2010-db001-xam-0024544,vi-ngang-da-bo-y2010-db001-xam-0024544,177300.0,197000.0,Xám Đậm,,0
Ví Ngang Da Bò #Y2010 136 Nâu Đậm,vi-ngang-da-bo-y2010-136-nau-am,YaMe,Khác,Ví Ngang Da Bò #Y2010 136 Nâu Đậm,,New,https://yame.vn/cdn/shop/files/vi-y2010-db001-nau-1180968965.jpg?v=1760792034&width=533,https://yame.vn/products/vi-ngang-da-bo-y2010-db001-nau-0024543,vi-ngang-da-bo-y2010-db001-nau-0024543,177300.0,197000.0,Nâu,,0
Ví Ngang Da Ý Alfa Tài Lộc 002 Đen,vi-ngang-da-y-alfa-tai-loc-002-en,YaMe,Khác,Ví Ngang Da Ý Alfa Tài Lộc 002 Đen,,New,https://yame.vn/cdn/shop/files/vi-tai-l-c-02-den-1174880230.jpg?v=1760787921&width=533,https://yame.vn/products/vi-ngang-da-y-alfa-tai-loc-02-den-0022433,vi-ngang-da-y-alfa-tai-loc-02-den-0022433,357300.0,397000.0,Đen,,0
Ví Ngang Da Bò Thịnh Vượng 005 Đen,vi-ngang-da-bo-thinh-vuong-005-en,YaMe,Khác,Ví Ngang Da Bò Thịnh Vượng 005 Đen,,New,https://yame.vn/cdn/shop/files/vi-th-nh-v-ng-5-den-1174880383.jpg?v=1760787278&width=533,https://yame.vn/products/vi-ngang-da-bo-thinh-vuong-5-den-0022409,vi-ngang-da-bo-thinh-vuong-5-den-0022409,267300.0,297000.0,Đen,,0
Ví Ngang Da Bò Thịnh Vượng 007 Đen,vi-ngang-da-bo-thinh-vuong-007-en,YaMe,Khác,Ví Ngang Da Bò Thịnh Vượng 007 Đen,,New,https://yame.vn/cdn/shop/files/vi-th-nh-v-ng-7-den-1174880367.jpg?v=1760787168&width=533,https://yame.vn/products/vi-ngang-da-bo-thinh-vuong-7-den-0022411,vi-ngang-da-bo-thinh-vuong-7-den-0022411,267300.0,297000.0,Đen,,0
Ví Ngang Da ONE PIECE WANO 034 Đen,vi-ngang-da-one-piece-wano-034-en,YaMe,Khác,Ví Ngang Da ONE PIECE WANO 034 Đen,,New,https://yame.vn/cdn/shop/files/vi-one-piece-wano-34-den-1174880433.jpg?v=1760787717&width=533,https://yame.vn/products/vi-ngang-da-one-piece-wano-34-den-0024285,vi-ngang-da-one-piece-wano-34-den-0024285,285600.0,357000.0,Đen,,0
Ví Ngang Công Sở Da Ý Công Nghệ RFID Chống Trộm Tài Lộc 005 Đen,vi-ngang-cong-so-da-y-cong-nghe-rfid-chong-trom-tai-loc-005-en,YaMe,Khác,Ví Ngang Công Sở Da Ý Công Nghệ RFID Chống Trộm Tài Lộc 005 Đen,,New,https://yame.vn/cdn/shop/files/0024902_thumb_4.jpg?v=1761643941&width=533,https://yame.vn/products/vi-ngang-cong-so-da-y-cong-nghe-rfid-chong-trom-tai-loc-05-den-0024902,vi-ngang-cong-so-da-y-cong-nghe-rfid-chong-trom-tai-loc-05-den-0024902,357300.0,397000.0,Đen,,0
Ví Ngang Da Ý Saffiano Tài Lộc 003 Đen,vi-ngang-da-y-saffiano-tai-loc-003-en,YaMe,Khác,Ví Ngang Da Ý Saffiano Tài Lộc 003 Đen,,New,https://yame.vn/cdn/shop/files/vi-tai-l-c-03-den-1174880465.jpg?v=1760787873&width=533,https://yame.vn/products/vi-ngang-da-y-saffiano-tai-loc-02-den-0022434,vi-ngang-da-y-saffiano-tai-loc-02-den-0022434,357300.0,397000.0,Đen,,0
Ví Ngang Da Bò Epsom Thịnh Vượng 008 Đen,vi-ngang-da-bo-epsom-thinh-vuong-008-en,YaMe,Khác,Ví Ngang Da Bò Epsom Thịnh Vượng 008 Đen,,New,https://yame.vn/cdn/shop/files/vi-th-nh-v-ng-8-den-1174880359.jpg?v=1760787104&width=533,https://yame.vn/products/vi-ngang-da-bo-epsom-thinh-vuong-8-den-0022412,vi-ngang-da-bo-epsom-thinh-vuong-8-den-0022412,267300.0,297000.0,Đen,,0
Ví Ngang Da Bò Thịnh Vượng 010 Xanh Dương Đậm,vi-ngang-da-bo-thinh-vuong-010-xanh-duong-am,YaMe,Khác,Ví Ngang Da Bò Thịnh Vượng 010 Xanh Dương Đậm,,New,https://yame.vn/cdn/shop/files/vi-th-nh-v-ng-10-xanh-den-1174880428.jpg?v=1760787702&width=533,https://yame.vn/products/vi-ngang-da-bo-thinh-vuong-10-xanh-duong-dam-0023974,vi-ngang-da-bo-thinh-vuong-10-xanh-duong-dam-0023974,267300.0,297000.0,Xanh Dương Đậm,,0
Ví Ngang Công Sở Da Ý Công Nghệ RFID Chống Trộm Tài Lộc 004 Đen,vi-ngang-cong-so-da-y-cong-nghe-rfid-chong-trom-tai-loc-004-en,YaMe,Khác,Ví Ngang Công Sở Da Ý Công Nghệ RFID Chống Trộm Tài Lộc 004 Đen,,New,https://yame.vn/cdn/shop/files/0024901_thumb_1_8087c02b-72ad-4cde-b824-db94c9c42b80.jpg?v=1761643937&width=533,https://yame.vn/products/vi-ngang-cong-so-da-y-cong-nghe-rfid-chong-trom-tai-loc-04-den-0024901,vi-ngang-cong-so-da-y-cong-nghe-rfid-chong-trom-tai-loc-04-den-0024901,357300.0,397000.0,Đen,,0
Ví Ngang Da Bò Thịnh Vượng 006 Đen,vi-ngang-da-bo-thinh-vuong-006-en,YaMe,Khác,Ví Ngang Da Bò Thịnh Vượng 006 Đen,,New,https://yame.vn/cdn/shop/files/vi-th-nh-v-ng-6-den-1174880375.jpg?v=1760787208&width=533,https://yame.vn/products/vi-ngang-da-bo-thinh-vuong-6-den-0022410,vi-ngang-da-bo-thinh-vuong-6-den-0022410,267300.0,297000.0,Đen,,0
